axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
line_jitter_sigma,1.5,0.7893518518518517,B4,6,23.836687450235733,1.9876986598706483,0.6882109641301689,0.029635650304807915
line_jitter_sigma,1.5,0.9253472222222222,P,6,24.773374228139932,2.434549061109502,0.6418770554303969,0.027778220211802016
line_jitter_sigma,2.0,1.0,B0a-R,6,22.280393349055768,1.6830192218420545,0.8166419755675691,nan
line_jitter_sigma,2.0,0.03703703703703704,B4,6,12.239662728147325,2.01900358291392,0.3858791614507789,0.09128332039337474
line_jitter_sigma,2.0,0.39872685185185186,P,6,19.169164775837118,1.6497840023033215,0.5106227376783616,0.08863944458602331
lowpass_sigma,0.5,1.0,B0a-R,6,29.17518901813375,1.5242143700721027,0.9378656851188447,nan
lowpass_sigma,0.5,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
lowpass_sigma,0.5,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
lowpass_sigma,1.0,1.0,B0a-R,6,29.148911938383225,1.526147685503041,0.9378015497519884,nan
lowpass_sigma,1.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
lowpass_sigma,1.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
lowpass_sigma,1.5,1.0,B0a-R,6,29.1514366345599,1.5387423985438275,0.9377443201142722,nan
lowpass_sigma,1.5,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
lowpass_sigma,1.5,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
lowpass_sigma,2.0,1.0,B0a-R,6,29.159546963607593,1.5341098627287901,0.9378726839909827,nan
lowpass_sigma,2.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
lowpass_sigma,2.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
lowpass_sigma,2.5,1.0,B0a-R,6,29.16097654323049,1.5285521767186891,0.9377732086016057,nan
lowpass_sigma,2.5,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
lowpass_sigma,2.5,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,0.0,1.0,B0a-R,6,29.165662850782784,1.630409363176916,0.9524292628585608,nan
noise_sigma,0.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,0.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,12.0,1.0,B0a-R,6,27.43264585580836,0.7858574770280053,0.7886160648663606,nan
noise_sigma,12.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,0.0
noise_sigma,12.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,0.0
noise_sigma,16.0,1.0,B0a-R,6,26.554258082830874,0.5644377797800233,0.7201027708187319,nan
noise_sigma,16.0,1.0,B4,6,27.745664417433858,2.356455577722925,0.7881251175221502,1.662425235794801e-05
noise_sigma,16.0,1.0,P,6,25.407479332079145,2.43664550518033,0.6549859734627271,1.6222580888737873e-05
noise_sigma,2.0,1.0,B0a-R,6,29.265878373300964,1.5736276160817524,0.9462822409599516,nan
