burst_lines,column_twist,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,scheme,stripe_lost
4,3,2,0.0217,6,4,bawp-32,False
8,3,1,0.9562,262,4,bawp-32,False
8,3,2,0.0438,12,4,bawp-32,False
16,3,1,0.9111,246,4,bawp-32,False
16,3,2,0.0889,24,4,bawp-32,False
24,3,1,0.8647,230,4,bawp-32,False
24,3,2,0.1353,36,4,bawp-32,False
32,3,1,0.8168,214,4,bawp-32,False
32,3,2,0.1832,48,4,bawp-32,False
48,3,1,0.7165,182,4,bawp-32,False
48,3,2,0.2835,72,4,bawp-32,False
64,3,1,0.6098,150,4,bawp-32,False
64,3,2,0.3902,96,4,bawp-32,False
