burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,B0a-R,6,,10,29.16283621861743,1.5641589834406753
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,B4,6,,10,27.814705014858443,2.38756929112487
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,P,6,,10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,B0a-R,6,,20,29.16342482148411,1.5624427407610375
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,B4,6,,20,27.814705014858443,2.38756929112487
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,P,6,,20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,B0a-R,6,,40,28.742295726801363,1.6435260793405178
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,B4,6,,40,27.814705014858443,2.38756929112487
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,P,6,,40,25.481470859711024,2.4601562153399206
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,B0a-R,6,,-20,29.18619182495102,1.5795205874332467
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,B4,6,,-20,27.814705014858443,2.38756929112487
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,P,6,,-20,25.481470859711024,2.4601562153399206
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,B0a-R,6,,-10,29.173806888536348,1.5855464311616776
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,B4,6,,-10,27.814705014858443,2.38756929112487
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,P,6,,-10,25.481470859711024,2.4601562153399206
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,B0a-R,6,,0,29.185489593163698,1.5779943113856594
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,B4,6,,0,27.814705014858443,2.38756929112487
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,P,6,,0,25.481470859711024,2.4601562153399206
