accumulation_rows,availability,coverage,fec_nsym,fill,max_unit_payload,n_descriptions,placement,psnr_displayed,psnr_full,rs_k,scene,study,window_accumulation_ms,window_rows
278,1.0,0.7743055555555556,128,,320,,,29.21445811479589,29.21445811479589,127,synthetic:horizon-v3,payload_x_fec,38.611,
278,1.0,0.7673611111111112,128,,320,,,22.32302859434303,22.32302859434303,127,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.8020833333333334,128,,320,,,25.16806267003578,25.16806267003578,127,synthetic:road-v5,payload_x_fec,38.611,
278,1.0,0.8159722222222222,128,,320,,,30.739814017571746,30.739814017571746,127,synthetic:targets-v0,payload_x_fec,38.611,
278,1.0,0.6701388888888888,128,,320,,,26.827192110137744,26.827192110137744,127,synthetic:targets-v7,payload_x_fec,38.611,
278,0.6666666666666666,0.1423611111111111,32,,480,,,15.200081610874552,15.15450220113857,223,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.5555555555555556,0.11805555555555555,32,,480,,,15.621301657487983,16.426269549841052,223,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.8333333333333334,0.17708333333333334,32,,480,,,16.11513549812171,16.121897615362833,223,synthetic:road-v0,payload_x_fec,38.611,
278,0.7222222222222222,0.1423611111111111,32,,480,,,17.03430200447643,16.094641937620818,223,synthetic:road-v5,payload_x_fec,38.611,
278,0.5555555555555556,0.10416666666666667,32,,480,,,20.994707000707805,20.180183240256397,223,synthetic:targets-v0,payload_x_fec,38.611,
278,0.5,0.09027777777777778,32,,480,,,19.027525667911156,17.55348391361936,223,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.34375,64,,480,,,19.97600820154468,19.97600820154468,191,synthetic:horizon-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.3541666666666667,64,,480,,,21.379459618311277,21.21073427054624,191,synthetic:horizon-v3,payload_x_fec,38.611,
278,0.8888888888888888,0.3506944444444444,64,,480,,,18.608321240579855,18.390884395900386,191,synthetic:road-v0,payload_x_fec,38.611,
278,1.0,0.3680555555555556,64,,480,,,21.057477800746877,21.057477800746877,191,synthetic:road-v5,payload_x_fec,38.611,
278,0.9444444444444444,0.4201388888888889,64,,480,,,27.36560295014526,27.36560295014526,191,synthetic:targets-v0,payload_x_fec,38.611,
278,0.8888888888888888,0.25,64,,480,,,20.47662206037841,20.13162058956805,191,synthetic:targets-v7,payload_x_fec,38.611,
278,1.0,0.8333333333333334,,,,,bawp,30.730638146572133,30.730638146572133,,synthetic:horizon-v0,window,38.611,0
278,1.0,0.7743055555555556,,,,,bawp,29.21445811479589,29.21445811479589,,synthetic:horizon-v3,window,38.611,0
278,1.0,0.7673611111111112,,,,,bawp,22.32302859434303,22.32302859434303,,synthetic:road-v0,window,38.611,0
278,1.0,0.8020833333333334,,,,,bawp,25.16806267003578,25.16806267003578,,synthetic:road-v5,window,38.611,0
278,1.0,0.8159722222222222,,,,,bawp,30.739814017571746,30.739814017571746,,synthetic:targets-v0,window,38.611,0
278,1.0,0.6701388888888888,,,,,bawp,26.827192110137744,26.827192110137744,,synthetic:targets-v7,window,38.611,0
278,1.0,0.8333333333333334,,neutral,,,,24.524459025417016,24.524459025417016,,synthetic:horizon-v0,fill_policy,38.611,
278,1.0,0.7708333333333334,,neutral,,,,23.914203505609315,23.914203505609315,,synthetic:horizon-v3,fill_policy,38.611,
278,1.0,0.7638888888888888,,neutral,,,,21.051277871030564,21.051277871030564,,synthetic:road-v0,fill_policy,38.611,
278,1.0,0.7951388888888888,,neutral,,,,20.407853842590086,20.407853842590086,,synthetic:road-v5,fill_policy,38.611,
278,1.0,0.8194444444444444,,neutral,,,,26.005710843977788,26.005710843977788,,synthetic:targets-v0,fill_policy,38.611,
278,1.0,0.6805555555555556,,neutral,,,,21.865081480388444,21.865081480388444,,synthetic:targets-v7,fill_policy,38.611,
278,1.0,0.8333333333333334,,interpolate,,,,30.730638146572133,30.730638146572133,,synthetic:horizon-v0,fill_policy,38.611,
278,1.0,0.7743055555555556,,interpolate,,,,29.21445811479589,29.21445811479589,,synthetic:horizon-v3,fill_policy,38.611,
278,1.0,0.7673611111111112,,interpolate,,,,22.32302859434303,22.32302859434303,,synthetic:road-v0,fill_policy,38.611,
278,1.0,0.8020833333333334,,interpolate,,,,25.16806267003578,25.16806267003578,,synthetic:road-v5,fill_policy,38.611,
278,1.0,0.8159722222222222,,interpolate,,,,30.739814017571746,30.739814017571746,,synthetic:targets-v0,fill_policy,38.611,
278,1.0,0.6701388888888888,,interpolate,,,,26.827192110137744,26.827192110137744,,synthetic:targets-v7,fill_policy,38.611,
278,1.0,0.8333333333333334,,previous,,,,30.441830507491513,30.441830507491513,,synthetic:horizon-v0,fill_policy,38.611,
278,1.0,0.7777777777777778,,previous,,,,27.953164915825326,27.953164915825326,,synthetic:horizon-v3,fill_policy,38.611,
278,1.0,0.7673611111111112,,previous,,,,22.25355746499866,22.25355746499866,,synthetic:road-v0,fill_policy,38.611,
278,1.0,0.7986111111111112,,previous,,,,23.785944834057545,23.785944834057545,,synthetic:road-v5,fill_policy,38.611,
278,1.0,0.8194444444444444,,previous,,,,30.24884145843692,30.24884145843692,,synthetic:targets-v0,fill_policy,38.611,
278,1.0,0.6770833333333334,,previous,,,,25.520758004560008,25.520758004560008,,synthetic:targets-v7,fill_policy,38.611,
