admissible,availability,bits_per_frame,codec,n_descriptions,n_frames,n_scheduled_instants,psnr_full,quality,reason,ssim_full,stripe_height,units_per_frame,wire_bytes_per_frame
True,0.75,40167.666666666664,jpeg,1,24,32,38.97447547922277,35,,0.9599989216978769,48,9.083333333333334,12450.666666666666
True,0.6875,46688.72727272727,jpeg,1,22,32,40.7681198479084,50,,0.9710012151540446,48,10.363636363636363,14519.272727272728
True,0.125,39404.0,jpeg,1,4,32,43.82306089013136,70,,0.9893771945798843,48,8.75,14168.0
False,0.0,,jpeg,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 6 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 7 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,2,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,2,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 5 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
True,0.875,32837.142857142855,jpeg,2,28,32,29.659929163906536,8,,0.8357119549970805,48,8.428571428571429,11040.0
True,0.75,32668.333333333332,jpeg,2,24,32,32.41731619259274,12,,0.8692895528450073,48,8.0,10304.0
True,0.625,35551.6,jpeg,2,20,32,34.206818708372424,18,,0.8970226864563994,48,8.65,11334.4
True,0.5,33919.0,jpeg,2,16,32,35.95966098592105,25,,0.9174149515637997,48,8.0,10304.0
True,0.375,35270.0,jpeg,2,12,32,38.30856461724752,35,,0.9331139284784125,48,8.083333333333334,10733.333333333334
True,0.375,43722.666666666664,jpeg,2,12,32,39.44893784211717,50,,0.946345955303345,48,10.0,15026.666666666666
True,0.125,44272.0,jpeg,2,4,32,42.25976855654303,70,,0.9862965876110935,48,10.0,15456.0
False,0.0,,jpeg,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 12 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,16,,
False,0.0,,jpeg,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 8 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,24,,
False,0.0,,jpeg,4,,32,,8,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,12,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,18,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,25,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,35,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,50,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
False,0.0,,jpeg,4,,32,,70,"жоден запланований момент не дав картинки (capacityx32): frame 0 needs 5 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",,48,,
