channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",40cbefaf8f78a513,B4,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep3|seed20240909,0.1853
mild,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",09ee4f3ba339b702,B4,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,mild|clip_grid_fast_v6|mild|rep4|seed20240909,0.1968
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",472da75cac3b0dde,B4,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep0|seed20240909,0.2523
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",865008ab8fc46070,B4,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep1|seed20240909,0.2263
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",063fd28041b7576e,B4,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep2|seed20240909,0.224
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",d10167fe48904472,B4,16,16,7fe30b1136,4,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep4|seed20240909,0.2023
moderate,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",64c3dd2aac507f4a,B4,16,16,7fe30b1136,3,synthetic:grid-v6,capacity,moderate|clip_grid_fast_v6|moderate|rep3|seed20240909,0.2411
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",ee144708ad91be10,B4,16,16,7fe30b1136,0,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep0|seed20240909,0.2333
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",ada9ad192142196b,B4,16,16,7fe30b1136,1,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep1|seed20240909,0.2363
bursty,,nan,clip_grid_fast_v6,2453f46f9dcc3b0f5d64085613010caa3f2a65997cd5c9f93aeb99c64e42c2a7,fe45d509310b99d4,"frame 15 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",b34cc2691a868deb,B4,16,16,7fe30b1136,2,synthetic:grid-v6,capacity,bursty|clip_grid_fast_v6|bursty|rep2|seed20240909,0.2465
