burst_lines,column_twist,descriptions_in_one_stripe,descriptions_lost_in_one_stripe,fraction,n_burst_positions,n_descriptions,outcome,scheme,stripe_lost
24,1,1,-1,0.2331,62,2,touched,block-64,False
24,1,2,-1,0.7669,204,2,touched,block-64,False
24,1,0,0,0.4361,116,2,lost,block-64,False
24,1,1,1,0.5639,150,2,lost,block-64,False
32,1,1,-1,0.2061,54,2,touched,block-64,False
32,1,2,-1,0.7939,208,2,touched,block-64,False
32,1,0,0,0.145,38,2,lost,block-64,False
32,1,1,1,0.4885,128,2,lost,block-64,False
32,1,2,2,0.3664,96,2,lost,block-64,True
48,1,1,-1,0.1575,40,2,touched,block-64,False
48,1,2,-1,0.8425,214,2,touched,block-64,False
48,1,0,0,0.0472,12,2,lost,block-64,False
48,1,1,1,0.3543,90,2,lost,block-64,False
48,1,2,2,0.5984,152,2,lost,block-64,True
64,1,1,-1,0.1301,32,2,touched,block-64,False
64,1,2,-1,0.8699,214,2,touched,block-64,False
64,1,1,1,0.3008,74,2,lost,block-64,False
64,1,2,2,0.6992,172,2,lost,block-64,True
1,1,1,-1,0.0791,22,4,touched,block-64,False
1,1,2,-1,0.9209,256,4,touched,block-64,False
1,1,0,0,1.0,278,4,lost,block-64,False
2,1,1,-1,0.0758,21,4,touched,block-64,False
2,1,2,-1,0.917,254,4,touched,block-64,False
2,1,3,-1,0.0072,2,4,touched,block-64,False
2,1,0,0,1.0,277,4,lost,block-64,False
4,1,1,-1,0.0725,20,4,touched,block-64,False
4,1,2,-1,0.913,252,4,touched,block-64,False
4,1,3,-1,0.0145,4,4,touched,block-64,False
4,1,0,0,1.0,276,4,lost,block-64,False
8,1,1,-1,0.0657,18,4,touched,block-64,False
8,1,2,-1,0.9051,248,4,touched,block-64,False
8,1,3,-1,0.0292,8,4,touched,block-64,False
8,1,0,0,0.9343,256,4,lost,block-64,False
8,1,1,1,0.0657,18,4,lost,block-64,False
16,1,1,-1,0.0519,14,4,touched,block-64,False
16,1,2,-1,0.8889,240,4,touched,block-64,False
16,1,3,-1,0.0593,16,4,touched,block-64,False
16,1,0,0,0.9333,252,4,lost,block-64,False
16,1,1,1,0.0667,18,4,lost,block-64,False
24,1,1,-1,0.0376,10,4,touched,block-64,False
24,1,2,-1,0.8722,232,4,touched,block-64,False
24,1,3,-1,0.0902,24,4,touched,block-64,False
24,1,0,0,0.4361,116,4,lost,block-64,False
24,1,1,1,0.5639,150,4,lost,block-64,False
32,1,1,-1,0.0229,6,4,touched,block-64,False
32,1,2,-1,0.855,224,4,touched,block-64,False
32,1,3,-1,0.1221,32,4,touched,block-64,False
32,1,0,0,0.145,38,4,lost,block-64,False
32,1,1,1,0.3053,80,4,lost,block-64,False
32,1,2,2,0.5496,144,4,lost,block-64,False
48,1,2,-1,0.811,206,4,touched,block-64,False
48,1,3,-1,0.189,48,4,touched,block-64,False
48,1,0,0,0.0472,12,4,lost,block-64,False
48,1,1,1,0.1339,34,4,lost,block-64,False
48,1,2,2,0.8189,208,4,lost,block-64,False
64,1,2,-1,0.7398,182,4,touched,block-64,False
64,1,3,-1,0.2602,64,4,touched,block-64,False
64,1,1,1,0.0407,10,4,lost,block-64,False
64,1,2,2,0.9431,232,4,lost,block-64,False
64,1,3,3,0.0163,4,4,lost,block-64,False
1,1,1,-1,1.0,278,1,touched,block-278,False
1,1,0,0,1.0,278,1,lost,block-278,False
2,1,1,-1,1.0,277,1,touched,block-278,False
2,1,0,0,1.0,277,1,lost,block-278,False
4,1,1,-1,1.0,276,1,touched,block-278,False
4,1,0,0,1.0,276,1,lost,block-278,False
8,1,1,-1,1.0,274,1,touched,block-278,False
8,1,0,0,1.0,274,1,lost,block-278,False
16,1,1,-1,1.0,270,1,touched,block-278,False
16,1,0,0,1.0,270,1,lost,block-278,False
24,1,1,-1,1.0,266,1,touched,block-278,False
24,1,0,0,1.0,266,1,lost,block-278,False
32,1,1,-1,1.0,262,1,touched,block-278,False
32,1,0,0,1.0,262,1,lost,block-278,False
48,1,1,-1,1.0,254,1,touched,block-278,False
48,1,0,0,1.0,254,1,lost,block-278,False
64,1,1,-1,1.0,246,1,touched,block-278,False
64,1,0,0,1.0,246,1,lost,block-278,False
1,1,2,-1,1.0,278,2,touched,block-278,False
1,1,0,0,1.0,278,2,lost,block-278,False
2,1,2,-1,1.0,277,2,touched,block-278,False
2,1,0,0,1.0,277,2,lost,block-278,False
4,1,2,-1,1.0,276,2,touched,block-278,False
4,1,0,0,1.0,276,2,lost,block-278,False
8,1,2,-1,1.0,274,2,touched,block-278,False
8,1,0,0,1.0,274,2,lost,block-278,False
16,1,2,-1,1.0,270,2,touched,block-278,False
16,1,0,0,1.0,270,2,lost,block-278,False
24,1,2,-1,1.0,266,2,touched,block-278,False
24,1,0,0,1.0,266,2,lost,block-278,False
32,1,2,-1,1.0,262,2,touched,block-278,False
32,1,0,0,1.0,262,2,lost,block-278,False
48,1,2,-1,1.0,254,2,touched,block-278,False
48,1,0,0,1.0,254,2,lost,block-278,False
64,1,2,-1,1.0,246,2,touched,block-278,False
64,1,0,0,1.0,246,2,lost,block-278,False
1,1,4,-1,1.0,278,4,touched,block-278,False
1,1,0,0,1.0,278,4,lost,block-278,False
2,1,4,-1,1.0,277,4,touched,block-278,False
2,1,0,0,1.0,277,4,lost,block-278,False
4,1,4,-1,1.0,276,4,touched,block-278,False
4,1,0,0,1.0,276,4,lost,block-278,False
8,1,4,-1,1.0,274,4,touched,block-278,False
8,1,0,0,1.0,274,4,lost,block-278,False
16,1,4,-1,1.0,270,4,touched,block-278,False
16,1,0,0,1.0,270,4,lost,block-278,False
24,1,4,-1,1.0,266,4,touched,block-278,False
24,1,0,0,1.0,266,4,lost,block-278,False
32,1,4,-1,1.0,262,4,touched,block-278,False
32,1,0,0,1.0,262,4,lost,block-278,False
48,1,4,-1,1.0,254,4,touched,block-278,False
48,1,0,0,1.0,254,4,lost,block-278,False
64,1,4,-1,1.0,246,4,touched,block-278,False
64,1,0,0,1.0,246,4,lost,block-278,False
1,1,1,-1,1.0,278,1,touched,diagonal-64,False
1,1,0,0,1.0,278,1,lost,diagonal-64,False
2,1,1,-1,1.0,277,1,touched,diagonal-64,False
2,1,0,0,1.0,277,1,lost,diagonal-64,False
4,1,1,-1,1.0,276,1,touched,diagonal-64,False
4,1,0,0,1.0,276,1,lost,diagonal-64,False
8,1,1,-1,1.0,274,1,touched,diagonal-64,False
8,1,0,0,1.0,274,1,lost,diagonal-64,False
16,1,1,-1,1.0,270,1,touched,diagonal-64,False
16,1,0,0,1.0,270,1,lost,diagonal-64,False
24,1,1,-1,1.0,266,1,touched,diagonal-64,False
24,1,0,0,1.0,266,1,lost,diagonal-64,False
32,1,1,-1,1.0,262,1,touched,diagonal-64,False
32,1,0,0,1.0,262,1,lost,diagonal-64,False
48,1,1,-1,1.0,254,1,touched,diagonal-64,False
48,1,0,0,1.0,254,1,lost,diagonal-64,False
64,1,1,-1,1.0,246,1,touched,diagonal-64,False
64,1,0,0,1.0,246,1,lost,diagonal-64,False
1,1,2,-1,1.0,278,2,touched,diagonal-64,False
1,1,0,0,1.0,278,2,lost,diagonal-64,False
2,1,2,-1,1.0,277,2,touched,diagonal-64,False
2,1,0,0,1.0,277,2,lost,diagonal-64,False
4,1,2,-1,1.0,276,2,touched,diagonal-64,False
4,1,0,0,1.0,276,2,lost,diagonal-64,False
8,1,2,-1,1.0,274,2,touched,diagonal-64,False
8,1,0,0,1.0,274,2,lost,diagonal-64,False
16,1,2,-1,1.0,270,2,touched,diagonal-64,False
16,1,0,0,1.0,270,2,lost,diagonal-64,False
24,1,2,-1,1.0,266,2,touched,diagonal-64,False
24,1,0,0,1.0,266,2,lost,diagonal-64,False
32,1,2,-1,1.0,262,2,touched,diagonal-64,False
32,1,0,0,1.0,262,2,lost,diagonal-64,False
48,1,2,-1,1.0,254,2,touched,diagonal-64,False
48,1,0,0,1.0,254,2,lost,diagonal-64,False
64,1,2,-1,1.0,246,2,touched,diagonal-64,False
64,1,0,0,1.0,246,2,lost,diagonal-64,False
1,1,4,-1,1.0,278,4,touched,diagonal-64,False
1,1,0,0,1.0,278,4,lost,diagonal-64,False
2,1,4,-1,1.0,277,4,touched,diagonal-64,False
2,1,0,0,1.0,277,4,lost,diagonal-64,False
4,1,4,-1,1.0,276,4,touched,diagonal-64,False
4,1,0,0,1.0,276,4,lost,diagonal-64,False
8,1,4,-1,1.0,274,4,touched,diagonal-64,False
8,1,0,0,1.0,274,4,lost,diagonal-64,False
16,1,4,-1,1.0,270,4,touched,diagonal-64,False
16,1,0,0,1.0,270,4,lost,diagonal-64,False
24,1,4,-1,1.0,266,4,touched,diagonal-64,False
24,1,0,0,1.0,266,4,lost,diagonal-64,False
32,1,4,-1,1.0,262,4,touched,diagonal-64,False
32,1,0,0,1.0,262,4,lost,diagonal-64,False
48,1,4,-1,1.0,254,4,touched,diagonal-64,False
48,1,0,0,1.0,254,4,lost,diagonal-64,False
64,1,4,-1,1.0,246,4,touched,diagonal-64,False
64,1,0,0,1.0,246,4,lost,diagonal-64,False
1,1,1,-1,1.0,278,1,touched,random-64,False
1,1,0,0,1.0,278,1,lost,random-64,False
2,1,1,-1,1.0,277,1,touched,random-64,False
2,1,0,0,1.0,277,1,lost,random-64,False
