channel_value,clip,corrected_symbols,coverage,detail,estimated_fraction,frame,frame_id,max_age_frames,method,payload_bytes,psnr_full,psnr_verified,rasters,repetition,scene,ssim_full,ssim_verified,stale_fraction,status,status_auth_failed,status_filler,status_fragment_recovered,status_frame_verified,status_header_invalid,status_header_unrecoverable,status_no_sync,status_payload_unrecoverable,status_raster_dropped,status_verified,symbol_error_denominator,symbol_errors_pre_fec,units_rejected,units_sent,units_verified,wire_bytes,x_est_dx,x_est_dy,x_filler_units,x_fragments,x_fragments_recovered,x_rasters_delivered,x_repetitions_received,x_repetitions_sent,x_segments,x_sync_score,x_units_from_other_frames,x_units_per_raster
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,13,13.0,0.0,B0a,0.0,53.25069763718122,53.25069763718122,1.0,4.0,synthetic:horizon-v0,0.9973347203105386,0.9973347203105386,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.9999999999999982,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,0,0.0,0.0,B0a,0.0,31.624980480567416,31.624980480567416,1.0,0.0,synthetic:horizon-v0,0.9013426750372252,0.9013426750372252,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9673985876909014,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,3,3.0,0.0,B0a,0.0,31.482397986100285,31.482397986100285,1.0,0.0,synthetic:horizon-v0,0.8998549497811505,0.8998549497811505,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9652720802627924,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,6,6.0,0.0,B0a,0.0,31.608745205522233,31.608745205522233,1.0,0.0,synthetic:horizon-v0,0.9001041592381863,0.9001041592381863,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9618029789708973,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,9,9.0,0.0,B0a,0.0,31.3838729990605,31.3838729990605,1.0,0.0,synthetic:horizon-v0,0.9005019354032514,0.9005019354032514,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9668457522343642,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,12,12.0,0.0,B0a,0.0,31.58183490525834,31.58183490525834,1.0,0.0,synthetic:horizon-v0,0.901407536171637,0.901407536171637,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9889599003783834,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,15,15.0,0.0,B0a,0.0,31.34372415922579,31.34372415922579,1.0,0.0,synthetic:horizon-v0,0.901240173920072,0.901240173920072,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9874189701050217,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,2,2.0,0.0,B0a,0.0,31.402698366628282,31.402698366628282,1.0,1.0,synthetic:horizon-v0,0.8999251709825559,0.8999251709825559,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9871780784877464,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,5,5.0,0.0,B0a,0.0,31.49801724778614,31.49801724778614,1.0,1.0,synthetic:horizon-v0,0.8992578957476539,0.8992578957476539,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.95581145405402,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,8,8.0,0.0,B0a,0.0,31.260125545422177,31.260125545422177,1.0,1.0,synthetic:horizon-v0,0.8987110339574578,0.8987110339574578,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.952622369709919,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,11,11.0,0.0,B0a,0.0,31.351079181129844,31.351079181129844,1.0,1.0,synthetic:horizon-v0,0.9012558611536928,0.9012558611536928,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9651608191256044,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,14,14.0,0.0,B0a,0.0,31.361953832972937,31.361953832972937,1.0,1.0,synthetic:horizon-v0,0.9018335297463828,0.9018335297463828,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9773580630277569,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,1,1.0,0.0,B0a,0.0,31.25852209388066,31.25852209388066,1.0,2.0,synthetic:horizon-v0,0.89953586020665,0.89953586020665,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9846678032723488,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,4,4.0,0.0,B0a,0.0,31.550759551852792,31.550759551852792,1.0,2.0,synthetic:horizon-v0,0.8997491091419224,0.8997491091419224,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9468038454124846,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,7,7.0,0.0,B0a,0.0,31.499452531778722,31.499452531778722,1.0,2.0,synthetic:horizon-v0,0.8997640245274448,0.8997640245274448,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9599494029825358,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,10,10.0,0.0,B0a,0.0,31.551161554725958,31.551161554725958,1.0,2.0,synthetic:horizon-v0,0.9016425548055804,0.9016425548055804,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9591477332677026,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,13,13.0,0.0,B0a,0.0,31.2884787264918,31.2884787264918,1.0,2.0,synthetic:horizon-v0,0.9011903584196591,0.9011903584196591,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9685463487784904,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,0,0.0,0.0,B0a,0.0,31.57148294810502,31.57148294810502,1.0,3.0,synthetic:horizon-v0,0.9012707606320344,0.9012707606320344,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9542266571877206,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,3,3.0,0.0,B0a,0.0,31.63540149385178,31.63540149385178,1.0,3.0,synthetic:horizon-v0,0.9004394035995406,0.9004394035995406,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9817005847582013,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,6,6.0,0.0,B0a,0.0,31.540051241903697,31.540051241903697,1.0,3.0,synthetic:horizon-v0,0.9004780087578613,0.9004780087578613,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9853345683427558,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,9,9.0,0.0,B0a,0.0,31.294924061553576,31.294924061553576,1.0,3.0,synthetic:horizon-v0,0.900091597093602,0.900091597093602,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9556207950050732,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,12,12.0,0.0,B0a,0.0,31.351880479917504,31.351880479917504,1.0,3.0,synthetic:horizon-v0,0.9007937571529321,0.9007937571529321,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9472207907849948,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,15,15.0,0.0,B0a,0.0,31.572206919086376,31.572206919086376,1.0,3.0,synthetic:horizon-v0,0.9030828275580672,0.9030828275580672,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9998969012906094,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,2,2.0,0.0,B0a,0.0,31.549870228446665,31.549870228446665,1.0,4.0,synthetic:horizon-v0,0.9009698780653284,0.9009698780653284,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9718118352204853,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,5,5.0,0.0,B0a,0.0,31.54828038563915,31.54828038563915,1.0,4.0,synthetic:horizon-v0,0.8999917472375148,0.8999917472375148,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9686438676557907,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,8,8.0,0.0,B0a,0.0,31.64654632809567,31.64654632809567,1.0,4.0,synthetic:horizon-v0,0.9006469992763361,0.9006469992763361,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,1.0033286828599126,,
nan,clip_horizon_slow_v0,0.0,1.0,,0.0,11,11.0,0.0,B0a,0.0,31.197477652709807,31.197477652709807,1.0,4.0,synthetic:horizon-v0,0.9002152958504642,0.9002152958504642,0.0,ok,,,,,,,,,,,0.0,nan,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.9849597261298988,,
