burst_len_lines,channel,coverage,gain,grid,method,n_scenes,noise_sigma,offset,psnr_full,psnr_full_sd
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,B4,6,,10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=15],1.0,0.9,gain_x_offset,P,6,,10,30.252280210321263,2.879750082925159
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,B0a-R,6,,20,31.46883827411649,2.0790835628692284
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,B4,6,,20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=16],1.0,0.9,gain_x_offset,P,6,,20,30.252280210321263,2.879750082925159
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,B0a-R,6,,40,31.46660217772705,2.054700170968641
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,B4,6,,40,33.8518308336543,2.6701546587709486
,mild[gainxoffset=17],1.0,0.9,gain_x_offset,P,6,,40,30.252280210321263,2.879750082925159
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,B0a-R,6,,-20,31.514058266768362,2.1025824886061204
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,B4,6,,-20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=18],1.0,1.0,gain_x_offset,P,6,,-20,30.252280210321263,2.879750082925159
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,B0a-R,6,,-10,31.522539336382547,2.1014144878723795
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,B4,6,,-10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=19],1.0,1.0,gain_x_offset,P,6,,-10,30.252280210321263,2.879750082925159
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,B0a-R,6,,-10,31.073590344916216,1.9198757821198185
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,B4,6,,-10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=1],1.0,0.6,gain_x_offset,P,6,,-10,30.252280210321263,2.879750082925159
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,B0a-R,6,,0,31.51430055167074,2.100404252171561
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,B4,6,,0,33.8518308336543,2.6701546587709486
,mild[gainxoffset=20],1.0,1.0,gain_x_offset,P,6,,0,30.252280210321263,2.879750082925159
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,B0a-R,6,,10,31.521259278033757,2.1056016082939792
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,B4,6,,10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=21],1.0,1.0,gain_x_offset,P,6,,10,30.252280210321263,2.879750082925159
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,B0a-R,6,,20,31.531807921622782,2.0851312028987934
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,B4,6,,20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=22],1.0,1.0,gain_x_offset,P,6,,20,30.252280210321263,2.879750082925159
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,B0a-R,6,,40,31.333876406103688,1.8229706359080964
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,B4,6,,40,33.8518308336543,2.6701546587709486
,mild[gainxoffset=23],1.0,1.0,gain_x_offset,P,6,,40,30.252280210321263,2.879750082925159
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,B0a-R,6,,-20,31.5492281787989,2.118030598827719
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,B4,6,,-20,33.8518308336543,2.6701546587709486
,mild[gainxoffset=24],1.0,1.1,gain_x_offset,P,6,,-20,30.252280210321263,2.879750082925159
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,B0a-R,6,,-10,31.56223037927855,2.092903294682124
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,B4,6,,-10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=25],1.0,1.1,gain_x_offset,P,6,,-10,30.252280210321263,2.879750082925159
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,B0a-R,6,,0,31.581670324523156,2.1083519103091524
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,B4,6,,0,33.8518308336543,2.6701546587709486
,mild[gainxoffset=26],1.0,1.1,gain_x_offset,P,6,,0,30.252280210321263,2.879750082925159
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,B0a-R,6,,10,31.554547512058495,2.122754431044056
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,B4,6,,10,33.8518308336543,2.6701546587709486
,mild[gainxoffset=27],1.0,1.1,gain_x_offset,P,6,,10,30.252280210321263,2.879750082925159
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,B0a-R,6,,20,31.224367482302423,1.6262424540898082
,mild[gainxoffset=28],1.0,1.1,gain_x_offset,B4,6,,20,33.8518308336543,2.6701546587709486
