axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
line_jitter_sigma,1.5,0.7962962962962963,B4,6,28.30369742430894,2.6213154805665226,0.8815552806961632,0.030505053772716815
line_jitter_sigma,1.5,0.9062499999999999,P,6,28.49227149180163,2.457888506328336,0.8446880302035901,0.02764902947672443
line_jitter_sigma,2.0,1.0,B0a-R,6,24.798045405378407,2.5852121322458745,0.8616025632794977,nan
line_jitter_sigma,2.0,0.04513888888888889,B4,6,15.048903842837328,2.3588746931033615,0.755610132881024,0.09397060832183117
line_jitter_sigma,2.0,0.3796296296296297,P,6,21.60940618750281,2.0038600396488913,0.8075485462898163,0.09209382196926795
lowpass_sigma,0.5,1.0,B0a-R,6,31.52503390204636,2.1067785492055506,0.9334640163186245,nan
lowpass_sigma,0.5,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
lowpass_sigma,0.5,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
lowpass_sigma,1.0,1.0,B0a-R,6,31.542716570566196,2.0821155147393813,0.9336726337687532,nan
lowpass_sigma,1.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
lowpass_sigma,1.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
lowpass_sigma,1.5,1.0,B0a-R,6,31.51453245831044,2.1136791802014234,0.9334035006748022,nan
lowpass_sigma,1.5,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
lowpass_sigma,1.5,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
lowpass_sigma,2.0,1.0,B0a-R,6,31.522835256709783,2.09558237417955,0.933513588057068,nan
lowpass_sigma,2.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
lowpass_sigma,2.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
lowpass_sigma,2.5,1.0,B0a-R,6,31.535653210809954,2.0894405841517183,0.9335685564636025,nan
lowpass_sigma,2.5,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
lowpass_sigma,2.5,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,0.0,1.0,B0a-R,6,31.63249691955279,2.25226261744848,0.9675072672933855,nan
noise_sigma,0.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,0.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,12.0,1.0,B0a-R,6,28.604696760114013,1.087461952744061,0.6293437541722536,nan
noise_sigma,12.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,12.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,16.0,1.0,B0a-R,6,27.218887792996274,0.6907426948687657,0.509438454044948,nan
noise_sigma,16.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,1.9769381182424658e-05
noise_sigma,16.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,1.6222580888737873e-05
noise_sigma,2.0,1.0,B0a-R,6,31.69283253865262,2.1613828801534503,0.9523133513958045,nan
noise_sigma,2.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,2.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,24.0,1.0,B0a-R,6,24.90314486038497,0.31921924704633614,0.3501964792822208,nan
noise_sigma,24.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0026852660599263867
noise_sigma,24.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.002760788311247027
noise_sigma,4.0,1.0,B0a-R,6,31.30976708937489,2.000992408014592,0.9086532438029596,nan
noise_sigma,4.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,4.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,6.0,1.0,B0a-R,6,30.75036238055381,1.7776667620102256,0.8457978582682699,nan
noise_sigma,6.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,6.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
noise_sigma,8.0,1.0,B0a-R,6,30.05273017411662,1.548050867643413,0.7729869781137083,nan
noise_sigma,8.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
noise_sigma,8.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,-10.0,1.0,B0a-R,6,31.535751742892728,2.089699825355139,0.9335572817717813,nan
offset,-10.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,-10.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,-20.0,1.0,B0a-R,6,31.513015850198773,2.087424109104083,0.9335643496210012,nan
offset,-20.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,-20.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,0.0,1.0,B0a-R,6,31.525415507156364,2.088118262373867,0.933532132225278,nan
offset,0.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,0.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,10.0,1.0,B0a-R,6,31.545590443813193,2.1005982040826856,0.9336210159877099,nan
offset,10.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,10.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,20.0,1.0,B0a-R,6,31.549526764947128,2.085802394710785,0.9335738338042067,nan
offset,20.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,20.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
offset,40.0,1.0,B0a-R,6,31.533725455731314,2.0955049987229346,0.9335537099001159,nan
offset,40.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
offset,40.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
