channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,0ceeb85973615d05,B0d,16,16,7fe30b1136,2,natural:74983792,ok,clean|nat_074983792|clean|rep2|seed20240909,3.8023
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b1ae6faa2f3ff085,B0d,16,16,7fe30b1136,4,natural:74983792,ok,clean|nat_074983792|clean|rep4|seed20240909,3.7621
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3013192aa65fe893,B0d,16,16,7fe30b1136,0,natural:74983792,ok,mild|nat_074983792|mild|rep0|seed20240909,3.9004
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,27b8d9c356852734,B0d,16,16,7fe30b1136,1,natural:74983792,ok,mild|nat_074983792|mild|rep1|seed20240909,3.8739
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,505ca5dd4c637cd2,B0d,16,16,7fe30b1136,2,natural:74983792,ok,mild|nat_074983792|mild|rep2|seed20240909,3.7733
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,4240bd10fa672498,B0d,16,16,7fe30b1136,4,natural:74983792,ok,mild|nat_074983792|mild|rep4|seed20240909,3.823
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,d3cbf1fc21e2f192,B0d,16,16,7fe30b1136,3,natural:74983792,ok,mild|nat_074983792|mild|rep3|seed20240909,3.988
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,f393d7df46f033f0,B1,16,16,7fe30b1136,0,natural:74983792,ok,clean|nat_074983792|clean|rep0|seed20240909,0.3615
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3bfc109c79c22d0b,B1,16,16,7fe30b1136,1,natural:74983792,ok,clean|nat_074983792|clean|rep1|seed20240909,0.3332
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,5a020cd6325e748a,B1,16,16,7fe30b1136,2,natural:74983792,ok,clean|nat_074983792|clean|rep2|seed20240909,0.3249
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,f8576b53e0e8a53a,B1,16,16,7fe30b1136,3,natural:74983792,ok,clean|nat_074983792|clean|rep3|seed20240909,0.373
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,ac56c23a9c58bda3,B1,16,16,7fe30b1136,4,natural:74983792,ok,clean|nat_074983792|clean|rep4|seed20240909,0.3911
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,529d194107685a16,B0d,16,16,7fe30b1136,0,natural:74983792,ok,harsh|nat_074983792|harsh|rep0|seed20240909,2.3812
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7a6406a7cd0c2022,B0d,16,16,7fe30b1136,1,natural:74983792,ok,harsh|nat_074983792|harsh|rep1|seed20240909,2.48
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,f14820f2ee70979d,B0d,16,16,7fe30b1136,2,natural:74983792,ok,harsh|nat_074983792|harsh|rep2|seed20240909,2.5593
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,d59fd337eed576ee,B0d,16,16,7fe30b1136,4,natural:74983792,ok,harsh|nat_074983792|harsh|rep4|seed20240909,2.3964
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,8e51259b2c638d9b,B0d,16,16,7fe30b1136,3,natural:74983792,ok,harsh|nat_074983792|harsh|rep3|seed20240909,2.6061
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,477849ed13301c14,B0d,16,16,7fe30b1136,0,natural:74983792,ok,moderate|nat_074983792|moderate|rep0|seed20240909,6.267
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,768f7e0e56986a20,B1,16,16,7fe30b1136,0,natural:74983792,ok,mild|nat_074983792|mild|rep0|seed20240909,0.5491
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,02dd0ac435bfb28c,B1,16,16,7fe30b1136,1,natural:74983792,ok,mild|nat_074983792|mild|rep1|seed20240909,0.5785
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,d488ff8278f022c3,B1,16,16,7fe30b1136,2,natural:74983792,ok,mild|nat_074983792|mild|rep2|seed20240909,0.5227
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,87555d3fda39867d,B1,16,16,7fe30b1136,3,natural:74983792,ok,mild|nat_074983792|mild|rep3|seed20240909,0.5192
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,0ccfba66c3264cde,B1,16,16,7fe30b1136,4,natural:74983792,ok,mild|nat_074983792|mild|rep4|seed20240909,0.5323
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,c94420be1a9bcdeb,B1,16,16,7fe30b1136,0,natural:74983792,ok,moderate|nat_074983792|moderate|rep0|seed20240909,0.5729
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,14e7bb030b71bef4,B1,16,16,7fe30b1136,2,natural:74983792,ok,moderate|nat_074983792|moderate|rep2|seed20240909,0.5253
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,4f6fd588047f3c89,B1,16,16,7fe30b1136,1,natural:74983792,ok,moderate|nat_074983792|moderate|rep1|seed20240909,0.5801
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e4b843cd3194ee6c,B0d,16,16,7fe30b1136,1,natural:74983792,ok,moderate|nat_074983792|moderate|rep1|seed20240909,6.4683
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,a281073283c3f544,B1,16,16,7fe30b1136,3,natural:74983792,ok,moderate|nat_074983792|moderate|rep3|seed20240909,0.5414
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,4ca90c207e927db5,B0d,16,16,7fe30b1136,3,natural:74983792,ok,moderate|nat_074983792|moderate|rep3|seed20240909,6.3777
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,506138c5bb407203,B1,16,16,7fe30b1136,4,natural:74983792,ok,moderate|nat_074983792|moderate|rep4|seed20240909,0.5744
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7d544a431a1b50f8,B1,16,16,7fe30b1136,0,natural:74983792,ok,bursty|nat_074983792|bursty|rep0|seed20240909,0.5713
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,37ce828bfb6a2341,B1,16,16,7fe30b1136,1,natural:74983792,ok,bursty|nat_074983792|bursty|rep1|seed20240909,0.5218
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,bb2ad5223bba08f0,B0d,16,16,7fe30b1136,0,natural:74983792,ok,bursty|nat_074983792|bursty|rep0|seed20240909,6.3655
