authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,harsh,,"{""no_sync"": 47}",0.9660714285714287,0.95,0.9580357142857142,B1,availability,0,47,1073,14,14,14,source
False,harsh,,"{""no_sync"": 47}",0.9660714285714287,0.95,0.9580357142857142,B2,availability,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",0.0,0.0,0.0,B3,availability,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",0.0,0.0,0.0,B4,availability,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",0.0,0.0,0.0,B4t,availability,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",0.0,0.0,0.0,P,availability,0,1120,0,14,14,14,source
False,harsh,,"{""no_sync"": 47}",16.04505112398064,15.41038662463257,15.700402854337392,B0a,psnr_displayed,0,47,1073,14,14,14,source
False,harsh,,{},19.125686979915,18.239067295297804,18.66082232749556,B0a-R,psnr_displayed,0,0,1120,14,14,14,source
False,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",13.724016334761846,11.867795601402646,12.765483048388953,B0d,psnr_displayed,0,1120,0,14,14,14,source
False,harsh,,"{""no_sync"": 47}",15.480252799437103,14.857589887129892,15.144165674096744,B1,psnr_displayed,0,47,1073,14,14,14,source
False,harsh,,"{""no_sync"": 47}",15.484937597250108,14.890464875325433,15.1609936742547,B2,psnr_displayed,0,47,1073,14,14,14,source
True,harsh,,"{""no_sync"": 186, ""deadline_miss"": 934}",13.724016334761846,11.867795601402646,12.765483048388953,B3,psnr_displayed,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 248, ""deadline_miss"": 872}",13.724016334761846,11.867795601402646,12.765483048388953,B4,psnr_displayed,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 256, ""deadline_miss"": 864}",13.724016334761846,11.867795601402646,12.765483048388953,B4t,psnr_displayed,0,1120,0,14,14,14,source
True,harsh,,"{""no_sync"": 335, ""deadline_miss"": 785}",13.724016334761846,11.867795601402646,12.765483048388953,P,psnr_displayed,0,1120,0,14,14,14,source
False,mild,,{},29.595256359177874,28.249338415901754,28.875282047941123,B0a,psnr_full,0,0,1120,14,14,14,source
False,mild,,{},29.90928280381222,28.479771052207152,29.142848654680623,B0a-R,psnr_full,0,0,1120,14,14,14,source
False,mild,,{},28.797203240366393,25.458886620531505,26.92039112214247,B0d,psnr_full,0,0,1120,14,14,14,source
False,mild,,{},28.666705362914016,27.42821515398583,27.96569705455162,B1,psnr_full,0,0,1120,14,14,14,source
False,mild,,{},28.67586144824767,27.449212630381275,27.984361553766735,B2,psnr_full,0,0,1120,14,14,14,source
True,mild,,{},28.797203240366393,25.458886620531505,26.92039112214247,B3,psnr_full,0,0,1120,14,14,14,source
True,mild,,{},28.797203240366393,25.458886620531505,26.92039112214247,B4,psnr_full,0,0,1120,14,14,14,source
True,mild,,{},27.456128455800187,24.330523341231462,25.706689350590676,B4t,psnr_full,0,0,1120,14,14,14,source
True,mild,,{},26.399769274479294,23.053065483520857,24.530585098930086,P,psnr_full,0,0,1120,14,14,14,source
False,mild,,{},0.9261788128253051,0.8991897306128483,0.9129834502904357,B0a,ssim_full,0,0,1120,14,14,14,source
False,mild,,{},0.9401914112822602,0.9137453125706233,0.9279172480213758,B0a-R,ssim_full,0,0,1120,14,14,14,source
False,mild,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B0d,ssim_full,0,0,1120,14,14,14,source
False,mild,,{},0.8788032612177095,0.8417463149931165,0.8607442882217732,B1,ssim_full,0,0,1120,14,14,14,source
False,mild,,{},0.8791719275783596,0.8417113635628496,0.8609162513246993,B2,ssim_full,0,0,1120,14,14,14,source
True,mild,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B3,ssim_full,0,0,1120,14,14,14,source
True,mild,,{},0.8117136752912876,0.7431478092682785,0.778137675101455,B4,ssim_full,0,0,1120,14,14,14,source
True,mild,,{},0.7646118952450093,0.6830452257488334,0.723909502208106,B4t,ssim_full,0,0,1120,14,14,14,source
True,mild,,{},0.7054034297939472,0.6080397972299221,0.6548131965224426,P,ssim_full,0,0,1120,14,14,14,source
False,mild,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a,coverage,0,0,1120,14,14,14,source
False,mild,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1120,14,14,14,source
