coverage,method,psnr_full,scenario,t_frame
1.0,P,,clean_burst_clean,34.0
1.0,P,,clean_burst_clean,35.0
1.0,P,,clean_burst_clean,36.0
1.0,P,,clean_burst_clean,37.0
1.0,P,,clean_burst_clean,38.0
1.0,P,,clean_burst_clean,39.0
1.0,P,,clean_burst_clean,40.0
1.0,P,,clean_burst_clean,41.0
1.0,P,,clean_burst_clean,42.0
1.0,P,,clean_burst_clean,43.0
1.0,P,,clean_burst_clean,44.0
1.0,P,,clean_burst_clean,45.0
1.0,P,,clean_burst_clean,46.0
1.0,P,,clean_burst_clean,47.0
,B0a-R,54.91642656338973,degrade_recover,0.0
,B0a-R,54.72862945673106,degrade_recover,1.0
,B0a-R,55.162311254571165,degrade_recover,2.0
,B0a-R,54.89039959840134,degrade_recover,3.0
,B0a-R,54.85459244779488,degrade_recover,4.0
,B0a-R,55.05429145482764,degrade_recover,5.0
,B0a-R,54.73005345267018,degrade_recover,6.0
,B0a-R,54.85566894744025,degrade_recover,7.0
,B0a-R,54.86781923381315,degrade_recover,8.0
,B0a-R,54.68203787013427,degrade_recover,9.0
,B0a-R,54.75632911401235,degrade_recover,10.0
,B0a-R,54.954452429022645,degrade_recover,11.0
,B0a-R,30.461994342029993,degrade_recover,12.0
,B0a-R,30.63728881784287,degrade_recover,13.0
,B0a-R,30.624063601396866,degrade_recover,14.0
,B0a-R,30.67877808011878,degrade_recover,15.0
,B0a-R,25.397370840480235,degrade_recover,16.0
,B0a-R,25.47708820230328,degrade_recover,17.0
,B0a-R,25.123753083918533,degrade_recover,18.0
,B0a-R,25.524802717310124,degrade_recover,19.0
,B0a-R,19.04083762699937,degrade_recover,20.0
,B0a-R,19.381162531889963,degrade_recover,21.0
,B0a-R,19.306872478441086,degrade_recover,22.0
,B0a-R,20.18410897012281,degrade_recover,23.0
,B0a-R,30.69414017070199,degrade_recover,24.0
,B0a-R,30.700692124511253,degrade_recover,25.0
,B0a-R,30.633760378377314,degrade_recover,26.0
,B0a-R,30.589828499205282,degrade_recover,27.0
,B0a-R,30.499288009028117,degrade_recover,28.0
,B0a-R,30.465784714869674,degrade_recover,29.0
,B0a-R,30.417091973000566,degrade_recover,30.0
,B0a-R,30.50067682231358,degrade_recover,31.0
,B0a-R,30.592289765094534,degrade_recover,32.0
,B0a-R,30.57823517261077,degrade_recover,33.0
,B0a-R,30.655270965038653,degrade_recover,34.0
,B0a-R,30.69011254243895,degrade_recover,35.0
,B0a-R,30.662828778336173,degrade_recover,36.0
,B0a-R,30.589721420273833,degrade_recover,37.0
,B0a-R,30.51136965233631,degrade_recover,38.0
,B0a-R,30.46172169046709,degrade_recover,39.0
,B0a-R,30.434647717840857,degrade_recover,40.0
,B0a-R,30.472290872679938,degrade_recover,41.0
,B0a-R,30.478800044597097,degrade_recover,42.0
,B0a-R,30.63782889242476,degrade_recover,43.0
,B0a-R,30.644140981147853,degrade_recover,44.0
,B0a-R,30.665978812443466,degrade_recover,45.0
,B0a-R,30.635588589002747,degrade_recover,46.0
,B0a-R,30.586961707127372,degrade_recover,47.0
,B4,32.91130380401873,degrade_recover,0.0
,B4,33.21120748326727,degrade_recover,1.0
,B4,32.92550264819231,degrade_recover,2.0
,B4,32.974772858020366,degrade_recover,3.0
,B4,32.86335854763296,degrade_recover,4.0
,B4,32.94816376508657,degrade_recover,5.0
,B4,32.96137729660857,degrade_recover,6.0
,B4,32.99634977315114,degrade_recover,7.0
,B4,32.807361587335244,degrade_recover,8.0
,B4,32.69642114651879,degrade_recover,9.0
,B4,32.62204851732701,degrade_recover,10.0
,B4,32.7666367039847,degrade_recover,11.0
,B4,32.67292962764058,degrade_recover,12.0
,B4,32.71754644263072,degrade_recover,13.0
,B4,32.715378409636344,degrade_recover,14.0
,B4,32.81996878112152,degrade_recover,15.0
,B4,29.713444831116792,degrade_recover,16.0
,B4,30.653371517268287,degrade_recover,17.0
